mode start end
1 1504150511047796 1504150512363249
1 1504150513619724 1504150514879475
1 1504150509772231 1504150511045144
1 1504150519945122 1504150521191688
1 1504150516188666 1504150517421980
1 1504150512366912 1504150513616840
1 1504150521194501 1504150522440940
1 1504150522443591 1504150523688550
1 1504150523691473 1504150524928832
1 1504150518710583 1504150519942219
1 1504150507150004 1504150508457608
1 1504150517424765 1504150518707900
1 1504150514883372 1504150516185330
1 1504150524931492 1504150526202029
1 1504150508460190 1504150509769465
16 1054044378 1055664894
16 1054043860 1055681802
16 1054044116 1055762071
16 1054043546 1055912091
16 1054044923 1055916812
16 1054043615 1055917914
16 1054060615 1055924540
16 1054064625 1055927786
16 1054076644 1055930267
16 1054044104 1055950219
16 1054044910 1055990334
16 1054052733 1056006164
16 1054048969 1056029923
16 1054049306 1056030407
16 1054043877 1056041304
16 1054088627 1056068583
16 1062132077 1064022984
16 1062132124 1064071824
16 1062140729 1064076261
16 1062133511 1064078593
16 1062133046 1064081858
16 1062132681 1064083826
16 1062137017 1064084855
16 1062132177 1064085101
16 1062131857 1064085483
16 1062133148 1064087828
16 1062132708 1064088655
16 1062131857 1064090552
16 1062152710 1064095251
16 1062132808 1064096329
16 1062152715 1064096833
16 1062140769 1064100051
16 1149415247 1151283782
16 1149464645 1151302049
16 1149420943 1151323627
16 1149416988 1151324848
16 1149420806 1151346068
16 1149415060 1151351622
16 1149417130 1151359683
16 1149416093 1151363967
16 1149428736 1151373494
16 1149416970 1151388349
16 1149417927 1151388627
16 1149416999 1151394955
16 1149416173 1151398710
16 1149415549 1151401681
16 1149416175 1151415860
16 1149415034 1151427062
16 1082503703 1084289056
16 1082504956 1084354621
16 1082505053 1084412984
16 1082506765 1084432233
16 1082503188 1084432777
16 1082504886 1084437085
16 1082527018 1084437525
16 1082502747 1084446183
16 1082502748 1084448773
16 1082516700 1084451262
16 1082502953 1084464047
16 1082504854 1084465429
16 1082502760 1084467806
16 1082505286 1084468277
16 1082508567 1084475262
16 1082516537 1084484847
16 1070148335 1072002759
16 1070156776 1072020693
16 1070148707 1072039569
16 1070148878 1072043420
16 1070156688 1072044150
16 1070148737 1072091344
16 1070152861 1072091900
16 1070148639 1072102073
16 1070148654 1072102843
16 1070164643 1072111825
16 1070180643 1072118964
16 1070168606 1072129883
16 1070148707 1072134235
16 1070156762 1072138869
16 1070148096 1072244483
16 1070147903 1072263978
16 1058107841 1059823641
16 1058108054 1059939873
16 1058109531 1060004067
16 1058120718 1060021246
16 1058113247 1060024625
16 1058128496 1060046034
16 1058112933 1060050929
16 1058108629 1060053700
16 1058112994 1060055486
16 1058107892 1060058957
16 1058108659 1060063290
16 1058113163 1060063449
16 1058132736 1060066139
16 1058108766 1060087344
16 1058120614 1060089364
16 1058152647 1060093414
16 1086524764 1088219546
16 1086524907 1088414093
16 1086584664 1088415001
16 1086522567 1088417052
16 1086525036 1088431719
16 1086522624 1088451049
16 1086522647 1088454795
16 1086536731 1088463471
16 1086522845 1088471555
16 1086524869 1088477117
16 1086544645 1088479088
16 1086540646 1088482843
16 1086524885 1088486056
16 1086523149 1088488143
16 1086537953 1088503800
16 1086578646 1088508968
16 1090571283 1092402997
16 1090560959 1092435051
16 1090561005 1092451480
16 1090559066 1092478470
16 1090558766 1092494024
16 1090558517 1092494072
16 1090560447 1092498928
16 1090559831 1092502962
16 1090560977 1092515741
16 1090593656 1092516548
16 1090580648 1092518778
16 1090559216 1092520992
16 1090592658 1092527492
16 1090608654 1092527836
16 1090568731 1092532715
16 1090568700 1092544749
16 1094602199 1096451886
16 1094603412 1096529309
16 1094602709 1096539591
16 1094608760 1096543838
16 1094604803 1096545563
16 1094602676 1096549437
16 1094602447 1096552648
16 1094602046 1096556746
16 1094636665 1096558095
16 1094606112 1096558246
16 1094612698 1096558575
16 1094626234 1096560903
16 1094648606 1096564347
16 1094604768 1096571107
16 1094624686 1096571747
16 1078475244 1080233255
16 1078474654 1080256916
16 1078475108 1080369049
16 1078476671 1080370585
16 1078475698 1080396394
16 1078474727 1080406562
16 1078492599 1080409160
16 1078476690 1080418376
16 1078476705 1080425280
16 1078497441 1080425668
16 1078492666 1080426591
16 1078480926 1080441883
16 1078492627 1080442842
16 1078476680 1080444761
16 1078516640 1080460756
16 1141369588 1143195678
16 1141368492 1143199034
16 1141368800 1143235251
16 1141373016 1143271977
16 1141368345 1143282030
16 1141369980 1143294781
16 1141380609 1143294995
16 1141368682 1143298368
16 1141376731 1143301539
16 1141388657 1143320820
16 1141370925 1143323901
16 1141372809 1143327606
16 1141400642 1143344989
16 1141368296 1143347350
16 1141376744 1143347822
16 1141408644 1143349681
16 1074302334 1075992871
16 1074304989 1076094983
16 1074308735 1076164429
16 1074303444 1076181142
16 1074304923 1076228518
16 1074303469 1076229360
16 1074302394 1076238280
16 1074303320 1076255294
16 1074304629 1076256810
16 1074332725 1076261869
16 1074303320 1076264225
16 1074308757 1076267319
16 1074316645 1076273781
16 1074320650 1076292077
16 1074302998 1076374134
16 1074304574 1076428009
16 1066141902 1068044132
16 1066139265 1068052388
16 1066156604 1068082632
16 1066144860 1068090641
16 1066139317 1068091678
16 1066139514 1068092686
16 1066141010 1068090960
16 1066155285 1068097078
16 1066141014 1068097956
16 1066148730 1068098545
16 1066208650 1068104843
16 1066139852 1068104898
16 1066139875 1068107732
16 1066160651 1068110000
16 1066140930 1068111594
16 1098616746 1100372594
16 1098612417 1100434085
16 1098613140 1100450317
16 1098612364 1100517313
16 1098638335 1100525897
16 1098640666 1100534669
16 1098612975 1100545167
16 1098612800 1100551368
16 1098620650 1100553311
16 1098632648 1100556203
16 1098613523 1100557968
16 1098640667 1100564585
16 1098635283 1100571709
16 1098633433 1100587483
16 1098612205 1100596377
16 1098635316 1100614013
16 1145387607 1147109241
16 1145388700 1147160049
16 1145404587 1147288946
16 1145392672 1147289698
16 1145392724 1147289266
16 1145396651 1147312419
16 1145388661 1147326417
16 1145387910 1147331037
16 1145404567 1147332361
16 1145388117 1147332944
16 1145404453 1147336210
16 1145388454 1147349242
16 1145396639 1147353051
16 1145388680 1147357955
16 1145404617 1147358725
16 1145420618 1147371263
8 1152461054 1153439190
8 1152459197 1153440817
8 1152459561 1153441371
8 1152459761 1153441626
8 1152460959 1153441945
8 1152461056 1153443617
8 1152460828 1153443984
8 1152460958 1153451277
8 1061124901 1062101052
8 1061124905 1062103581
8 1061123680 1062104325
8 1061124855 1062105042
8 1061124828 1062108344
8 1061124333 1062109964
8 1061124239 1062111078
8 1148407461 1149389224
8 1148407488 1149393575
8 1148407397 1149394080
8 1148407410 1149395240
8 1148408923 1149395408
8 1148407553 1149396404
8 1148408910 1149398997
8 1081493730 1082466646
8 1081493630 1082471317
8 1081494208 1082474285
8 1081493786 1082476475
8 1081496658 1082481173
8 1081493588 1082485477
8 1081493469 1082489521
8 1081508659 1082494406
8 1069140204 1070114549
8 1069141822 1070120074
8 1069140707 1070122042
8 1069139850 1070122444
8 1069140804 1070122719
8 1069140759 1070123467
8 1069144731 1070127282
8 1057100987 1058080580
8 1057100974 1058081115
8 1057099422 1058081650
8 1057101021 1058083360
8 1057099617 1058084840
8 1057099870 1058084897
8 1057100799 1058086615
8 1057099252 1058086744
8 1085515463 1086496070
8 1085517004 1086498771
8 1085516942 1086499439
8 1085516973 1086500526
8 1085515424 1086501163
8 1085515728 1086502963
8 1085516904 1086503060
8 1085515316 1086504039
8 1089544808 1090521268
8 1089540949 1090522132
8 1089544841 1090522666
8 1089540963 1090522998
8 1089544801 1090523829
8 1089549030 1090524079
8 1089540926 1090525638
8 1093567316 1094548375
8 1093568977 1094548677
8 1093569119 1094550163
8 1093568968 1094551945
8 1093572807 1094552603
8 1093567083 1094551969
8 1093567085 1094554512
8 1093567097 1094554863
8 1077468888 1078444444
8 1077464999 1078446522
8 1077468913 1078448952
8 1077464934 1078450279
8 1077464624 1078451970
8 1077468871 1078453793
8 1077464920 1078461044
8 1077468897 1078461881
8 1140360889 1141341847
8 1140360310 1141343265
8 1140364869 1141343803
8 1140359994 1141344832
8 1140360077 1141345589
8 1140359980 1141346127
8 1140360903 1141353380
8 1140364875 1141355378
8 1073294357 1074273765
8 1073294191 1074274043
8 1073297025 1074274701
8 1073293667 1074276761
8 1073297059 1074276961
8 1073294227 1074278281
8 1073301554 1074279020
8 1073294494 1074279565
8 1065132864 1066110565
8 1065130849 1066111450
8 1065132931 1066112010
8 1065132932 1066112846
8 1065131107 1066113314
8 1065130850 1066114280
8 1065132794 1066116575
8 1097604993 1098583313
8 1097602097 1098584328
8 1097605523 1098584562
8 1097604946 1098584929
8 1097601664 1098585393
8 1097602114 1098587095
8 1097604893 1098589175
8 1097601830 1098590219
8 1144377791 1145357181
8 1144380944 1145363566
8 1144380980 1145361050
8 1144377543 1145359567
